Year,Sales,Growth,Market_Share
2019,2293984.0,-3.68,1.12
2018,2381635.0,-3.34,1.11
2017,2464041.0,-0.94,0.29
2016,2487487.0,-0.57,0.27
2015,2501855.0,5.26,0.13
2014,2376841.0,-1.11,0.11
