Year,Sales,Growth,Market_Share
2019,192250,        0.33           ,1.12
2018,191627,        282.15         ,1.11
2017,50145,         5.25           ,0.29
2016,47644,         87.46          ,0.27
2015,25416,         52.29          ,0.13
2014,16689,                        ,0.11
